line_id	point_id	x	y	z	width_(um)	pixel_intensity
0	0	4.99200	1.56000	2.00000	0.14120	94.83333
0	1	4.96173	1.66380	1.98148	0.20231	127.33333
0	2	4.88394	1.76414	1.94444	0.22867	143.16667
0	3	4.78380	1.84559	1.87037	0.31199	247.16667
0	4	4.68000	1.89820	1.81481	0.35735	236.66667
0	5	4.57600	1.97580	1.77778	0.40811	236.50000
0	6	4.47200	2.04994	1.81481	0.38388	309.33333
0	7	4.36800	2.07980	1.87037	0.31389	352.16667
0	8	4.26400	2.10620	1.94444	0.26612	387.50000
0	9	4.16000	2.15780	1.98148	0.32104	490.33333
0	10	4.05600	2.18400	2.00000	0.28533	468.16667
1	0	3.12000	8.94400	2.00000	0.13637	180.00000
1	1	3.12000	9.04800	2.00000	0.25090	194.16667
1	2	3.12000	9.15200	2.00000	0.18054	164.83333
1	3	3.12000	9.25600	2.00000	0.20495	146.50000
2	0	8.73600	8.42400	2.50000	0.10294	165.33333
2	1	8.73600	8.52800	2.50000	0.16936	227.00000
2	2	8.73600	8.63200	2.50000	0.17532	256.50000
2	3	8.73600	8.73600	2.50000	0.13258	234.16667
3	0	3.53600	4.68000	3.00000	0.29333	553.00000
3	1	3.46206	4.78400	3.00000	0.47563	862.66667
3	2	3.43200	4.88800	3.00000	0.54125	1049.33333
4	0	2.49600	5.72000	3.00000	0.28216	540.66667
4	1	2.52627	5.61600	3.16667	0.49802	863.16667
4	2	2.60406	5.51200	3.33333	0.46520	536.50000
4	3	2.70400	5.40800	3.50000	0.42714	633.00000
5	0	3.64000	8.73600	3.00000	0.38044	549.16667
5	1	3.74400	8.70980	3.00000	0.38900	539.50000
5	2	3.84800	8.65820	3.00000	0.35226	540.16667
5	3	3.95200	8.63180	3.01852	0.34766	586.66667
5	4	4.05559	8.60173	3.07407	0.40435	552.33333
5	5	4.15188	8.52414	3.18519	0.46949	479.50000
5	6	4.20306	8.42766	3.31481	0.54606	621.00000
5	7	4.15188	8.34641	3.42593	0.41201	729.16667
5	8	4.05559	8.29359	3.48148	0.25866	524.33333
5	9	3.95200	8.21234	3.50000	0.23999	532.00000
5	10	3.84800	8.11566	3.50000	0.29032	664.83333
5	11	3.74400	8.03461	3.51852	0.30974	513.33333
5	12	3.64000	7.98545	3.57407	0.36108	498.00000
5	13	3.53600	7.92655	3.68519	0.46851	371.50000
5	14	3.43200	7.87739	3.83333	0.43554	229.50000
5	15	3.32800	7.79614	4.01852	0.36339	336.33333
