line_id	point_id	x	y	z	width_(um)	pixel_intensity
0	0	5.09600	1.45600	2.00000	0.12565	25.50000
0	1	5.01820	1.56000	1.92593	0.26880	55.16667
0	2	4.96559	1.66380	1.90741	0.27450	53.00000
0	3	4.88414	1.76414	1.94444	0.27389	107.83333
0	4	4.78380	1.84539	1.98148	0.25105	150.00000
0	5	4.68000	1.89455	2.00000	0.23001	112.83333
0	6	4.57600	1.95325	2.00000	0.19014	155.00000
0	7	4.47200	1.99875	2.00000	0.19523	113.83333
0	8	4.36800	2.05725	2.00000	0.16930	173.66667
0	9	4.26400	2.10255	2.00000	0.27381	153.00000
0	10	4.16000	2.15739	2.00000	0.36144	158.33333
0	11	4.05600	2.18014	2.00000	0.41542	205.33333
0	12	3.95200	2.18380	2.00000	0.39091	135.83333
0	13	3.84800	2.18400	2.00000	0.36681	128.50000
1	0	3.22400	4.68000	2.50000	0.15618	122.66667
1	1	3.32800	4.78400	3.00000	0.41623	314.33333
1	2	3.43200	4.88800	3.50000	0.43715	269.66667
1	3	3.53600	4.99200	4.00000	0.07988	105.00000
2	0	2.49600	5.82400	3.00000	0.15808	87.33333
2	1	2.49620	5.72000	3.01852	0.28823	166.16667
2	2	2.50006	5.61600	3.07407	0.44828	236.50000
2	3	2.52647	5.51200	3.18519	0.52477	253.50000
2	4	2.60406	5.40800	3.33333	0.46844	158.33333
2	5	2.70400	5.30400	3.50000	0.36578	195.66667
3	0	8.73600	6.86400	3.00000	0.16214	83.33333
3	1	8.73600	6.96800	3.00000	0.21854	78.66667
3	2	8.73600	7.07200	3.00000	0.18063	99.00000
4	0	7.28000	6.76000	4.00000	0.23603	180.66667
4	1	7.38400	6.86380	3.83333	0.40533	206.50000
4	2	7.48800	6.96414	3.68519	0.42909	298.50000
4	3	7.59200	7.04539	3.59259	0.38822	358.66667
4	4	7.69600	7.09434	3.61111	0.52902	374.66667
4	5	7.80000	7.14959	3.75926	0.54762	272.83333
4	6	7.90400	7.17600	4.00000	0.50992	281.66667
4	7	8.00800	7.20220	4.24074	0.43940	242.50000
4	8	8.11200	7.25339	4.42593	0.30964	216.66667
4	9	8.21600	7.27208	4.57407	0.24508	174.66667
4	10	8.32000	7.24953	4.75926	0.39680	75.50000
